Temperature,Top P,Best Of,Count,Correct Mean,Top Two Correct Mean,Top Three Correct Mean
1.0,0.75,2,3,0.5119617224880383,0.7049441786283892,0.8755980861244019
0.0,1.0,2,1,0.507177033492823,0.7177033492822966,0.8899521531100478
0.5,0.75,4,3,0.507177033492823,0.7097288676236044,0.8803827751196173
0.5,1.0,4,3,0.5039872408293461,0.7145135566188198,0.8803827751196173
0.0,0.75,2,1,0.5023923444976076,0.722488038277512,0.8947368421052632
0.5,1.0,1,3,0.5007974481658692,0.7113237639553429,0.8787878787878788
0.5,1.0,2,3,0.5007974481658692,0.7145135566188198,0.8899521531100478
1.0,0.75,1,3,0.5007974481658692,0.7145135566188198,0.8803827751196173
0.5,0.75,1,3,0.49920255183413076,0.7017543859649122,0.8771929824561403
0.5,0.75,2,3,0.49920255183413076,0.7113237639553429,0.8851674641148325
1.0,1.0,4,3,0.49920255183413076,0.7097288676236044,0.8787878787878788
0.0,0.75,1,1,0.49760765550239233,0.7177033492822966,0.8899521531100478
1.0,0.75,4,3,0.49760765550239233,0.7113237639553429,0.8740031897926634
1.0,1.0,2,3,0.49760765550239233,0.7129186602870813,0.8692185007974481
0.0,1.0,1,2,0.49282296650717705,0.715311004784689,0.8875598086124402
1.0,1.0,1,3,0.4800637958532695,0.6858054226475279,0.8389154704944178
